Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,45.158333,45.158333,44.116665,44.441666,25.716892,1375158
2013-01-02,44.500000,45.416664,44.491665,45.333332,26.232870,1936392
2013-01-03,45.658333,45.658333,44.883331,45.258331,26.189466,1146306
2013-01-04,45.349998,48.133331,45.258331,46.858334,27.115335,10010520
2013-01-07,45.375000,48.308334,45.375000,46.875000,27.124977,10881438
2013-01-08,47.508331,47.716667,46.474998,46.891666,27.134623,3272100
2013-01-09,47.599998,49.083332,46.766666,47.724998,27.616846,8037774
2013-01-10,48.333332,49.650002,47.125000,47.691666,27.597555,11739630
2013-01-11,47.849998,48.033333,46.966667,47.458332,27.462530,1784892
2013-01-14,47.066666,48.183334,46.833332,48.016666,27.785627,3188682
2013-01-15,48.174999,49.900002,47.641666,49.591667,28.697021,8932074
2013-01-16,50.333332,50.983334,49.166664,49.491665,28.639156,3725640
2013-01-17,49.674999,53.700001,49.125000,52.650002,30.466780,31633116
2013-01-18,53.333332,62.333332,53.200001,58.216667,33.688019,58959978
2013-01-21,58.325001,59.575001,56.416664,57.433334,33.234730,22599120
2013-01-22,57.333332,58.066666,54.916664,55.566666,32.154556,11623698
2013-01-23,55.166664,55.916664,53.391666,54.325001,31.436047,10102506
2013-01-24,54.483334,55.058334,52.099998,52.308334,30.269064,6955830
2013-01-25,52.333332,54.150002,52.083332,53.924999,31.204575,7797630
2013-01-28,53.916664,54.375000,52.533333,53.099998,30.727180,5728650
2013-01-29,53.099998,53.900002,51.533333,51.741665,29.941153,7670532
2013-01-30,52.641666,53.158333,51.674999,52.275002,30.249775,9256062
2013-01-31,52.816666,55.000000,52.033333,54.549999,31.566238,14203902
2013-02-01,54.833332,56.483334,54.266666,56.141666,32.487286,9889686
2013-02-04,56.141666,56.908333,54.450001,54.766666,31.691626,5264196
2013-02-05,54.766666,55.650002,54.141666,55.408333,32.062939,4789728
2013-02-06,55.400002,55.908333,55.083332,55.466667,32.096695,7066422
2013-02-07,55.933334,55.933334,53.666664,54.366665,31.460154,7860678
2013-02-08,54.283333,54.558334,52.233334,52.533333,30.399269,5599020
2013-02-11,52.474998,52.958332,51.833332,52.066666,30.129215,5170908
2013-02-12,52.166664,53.166664,52.158333,52.841667,30.577688,5066496
2013-02-13,52.841667,53.966667,52.841667,53.366665,30.881485,6001566
2013-02-14,54.316666,56.633331,52.250000,52.758331,30.529472,8889744
2013-02-15,53.008331,53.458332,51.349998,52.466667,30.360693,8061612
2013-02-18,53.941666,54.083332,51.900002,52.091667,30.143686,4017372
2013-02-19,52.433334,52.583332,51.616665,52.408333,30.326929,2487372
2013-02-20,52.908333,53.483334,52.275002,52.983334,30.659668,4585248
2013-02-21,52.974998,53.383331,52.208332,52.366665,30.302826,5051994
2013-02-22,52.583332,52.916664,51.758331,52.058334,30.124403,4286394
2013-02-25,52.058334,52.275002,50.833332,51.099998,29.569843,2453514
2013-02-26,50.991665,51.408333,48.799999,48.991665,28.349823,4119606
2013-02-27,49.116665,52.166664,48.849998,51.066666,29.550556,6991386
2013-02-28,51.166664,52.416664,48.099998,48.783333,28.229265,9548388
2013-03-01,48.833332,50.400002,48.500000,49.808334,28.822405,3472788
2013-03-04,50.650002,50.833332,49.875000,50.633331,29.299801,4024128
2013-03-05,50.666664,51.500000,49.683334,51.349998,29.714510,3875916
2013-03-06,51.491665,51.650002,50.891666,51.174999,29.613245,1829052
2013-03-07,51.666664,52.500000,50.691666,51.200001,29.627710,1716066
2013-03-08,51.424999,52.450001,51.224998,51.991665,30.085821,3484248
2013-03-11,51.825001,52.791664,51.674999,52.299999,30.264248,2196252
2013-03-12,52.366665,52.500000,51.108334,51.750000,29.945980,1977546
2013-03-13,52.000000,52.083332,51.049999,51.450001,29.772377,2490888
2013-03-14,51.416664,52.233334,50.866665,51.633331,29.878464,3431868
2013-03-15,51.700001,53.341667,51.700001,52.924999,30.625916,8738310
2013-03-18,52.375000,52.924999,51.049999,51.783333,29.965267,2932476
2013-03-19,51.708332,52.200001,50.441666,50.866665,29.434822,3339228
2013-03-20,50.866665,51.474998,49.500000,50.000000,28.933313,5950602
2013-03-21,49.691666,51.150002,49.541664,49.866665,28.856155,3120606
2013-03-22,49.358334,49.816666,47.525002,48.341667,27.973686,3369096
2013-03-25,50.166664,50.491665,46.208332,46.575001,26.951376,6316890
2013-03-26,47.333332,47.333332,45.299999,45.549999,26.358246,1442052
2013-03-28,45.558334,47.316666,44.991665,46.933334,27.158733,2792664
2013-04-01,46.908333,47.208332,46.491665,46.900002,27.139448,1682526
2013-04-02,46.491665,47.808334,46.349998,47.458332,27.462530,1744356
2013-04-03,47.000000,48.833332,47.000000,48.299999,27.949579,4394700
